event_date,open_section_1,open_section_2
2022-06-16,TRUE,TRUE
2022-06-17,TRUE,TRUE
2022-06-18,TRUE,TRUE
2022-06-19,TRUE,TRUE
2022-06-20,TRUE,TRUE
2022-06-21,TRUE,TRUE
2022-06-22,TRUE,TRUE
2022-06-23,TRUE,TRUE
2022-06-24,TRUE,TRUE
2022-06-25,TRUE,TRUE
2022-06-26,TRUE,TRUE
2022-06-27,TRUE,TRUE
2022-06-28,TRUE,TRUE
2022-06-29,TRUE,TRUE
2022-06-30,TRUE,TRUE
2022-07-01,TRUE,TRUE
2022-07-02,TRUE,TRUE
2022-07-03,TRUE,TRUE
2022-07-04,TRUE,TRUE
2022-07-05,TRUE,TRUE
2022-07-06,TRUE,TRUE
2022-07-07,TRUE,TRUE
2022-07-08,TRUE,TRUE
2022-07-09,TRUE,TRUE
2022-07-10,TRUE,TRUE
2022-07-11,TRUE,TRUE
2022-07-12,TRUE,TRUE
2022-07-13,TRUE,TRUE
2022-07-14,TRUE,TRUE
2022-07-15,TRUE,TRUE
